service_slug,river_slug,services_offered,routes,seasonal_notes,verified_source,source_checked_at
bass-river-resort,courtois,canoe_rental|kayak_rental|raft_rental|shuttle,"Blunts to Bass',6,Blunts Low-Water Bridge,Bass' River Resort|Berryman to Blunts,7,Berryman Campground,Blunts Low-Water Bridge|Bass' to Scotia,7,Bass' River Resort,Scotia Bridge|Berryman to Bass',13,Berryman Campground,Bass' River Resort|Multi-day,20-25,Berryman Campground,",Private inflatables and tubes are not permitted on the Courtois trips.,https://bassresort.com/river-trips/,2026-08-24
ozark-outdoors-resort,courtois,canoe_rental|kayak_rental|raft_rental|tube_rental|shuttle,"Butts Slab,10,Courtois,Meramec|Courtois Primitive,5,Courtois,Meramec,seasonal",The Courtois Primitive run is seasonal; the resort's Meramec operation is not.,https://ozarkoutdoorsresort.com/canoeing/,2026-08-24
bsc-outdoors,gasconade,,"Short float,3,,|Half day,5,,|Full day,8,,",,https://bscoutdoors.com,2026-08-24
bsc-outdoors,big-piney,,"Short float,3,,|Half day,5,,|Full day,8,,",,https://bscoutdoors.com,2026-08-24
mountain-creek-family-resort,niangua,,"Bennett Spring to Mountain Creek,11.5,Bennett Spring,Mountain Creek Family Resort",,https://www.mountaincreekfamilyresort.com,2026-08-24
maggard-canoe-corkery-campground,niangua,,"Below Bennett Spring,10,,",,https://nianguariver.com/camping,2026-08-24
niangua-river-oasis,niangua,,"Short,4,,|Half day,7,,|Long,10,,|Full day,14,,",,https://nrocanoe.com/float-trips/,2026-08-24
rubys-landing,gasconade,,"Five-mile float,5,,Ruby's Landing",All five-mile floats finish at the property; private vessels can be shuttled.,https://rubyslanding.com,2026-08-24
pecks-last-resort,big-piney,,"Half day,7,,|Full day,15,,|Multi-day,45,,",,https://www.peckslastresort.com,2026-08-24
