name,type,river_slugs,slug,website,services_offered,tent_sites,rv_sites,cabin_count,season_open_month,season_close_month,verified_source,source_checked_at
Silver Mines Campground,campground,st-francis,silver-mines-campground-usfs,https://www.fs.usda.gov/r09/marktwain/recreation/silver-mines-recreation-area,camping_primitive|camping_rv|vault_toilets|potable_water|fire_rings|picnic_tables,59,11,,3,10,https://www.fs.usda.gov/r09/marktwain/recreation/silver-mines-recreation-area,2026-08-23
Withrow Springs State Park,campground,war-eagle-creek,withrow-springs-state-park,https://www.arkansas.com/state-parks/parks/withrow-springs-state-park,camping_primitive|camping_rv,10,29,,,,https://www.arkansas.com/state-parks/parks/withrow-springs-state-park,2026-08-23
Wolf Pen Recreation Area,campground,mulberry,wolf-pen-recreation-area,https://www.fs.usda.gov/r08/ozark-stfrancis/recreation/wolf-pen-recreation-area,camping_primitive|vault_toilets,6,,,,,https://www.fs.usda.gov/r08/ozark-stfrancis/recreation/wolf-pen-recreation-area,2026-08-23
Redding Recreation Area,campground,mulberry,redding-recreation-area,https://www.fs.usda.gov/r08/ozark-stfrancis/recreation/redding-recreation-area,camping_primitive|flush_toilets|showers,,,,,,https://www.fs.usda.gov/r08/ozark-stfrancis/recreation/redding-recreation-area,2026-08-23
Washington State Park Campground,campground,big-river,washington-state-park-campground,https://mostateparks.com/park/washington-state-park/camping,camping_primitive|camping_rv|showers|flush_toilets|potable_water,,,,,,https://mostateparks.com/park/washington-state-park/camping,2026-08-23
St. Francois State Park Campground,campground,big-river,st-francois-state-park-campground,https://mostateparks.com/park/st-francois-state-park/camping,camping_primitive|camping_rv|showers|flush_toilets|potable_water,,,,,,https://mostateparks.com/park/st-francois-state-park/camping,2026-08-23
War Eagle Campground - Beaver Lake (COE),campground,war-eagle-creek,war-eagle-campground-beaver-lake-coe,https://www.recreation.gov/camping/campgrounds/233279,camping_primitive|camping_rv|flush_toilets|potable_water|fire_rings|picnic_tables,,26,,,,https://www.recreation.gov/camping/campgrounds/233279,2026-08-23
Rocky Top Campground & Cabins,campground,bryant-creek|north-fork-white,rocky-top-campground-cabins,http://www.rocky-top-campground.com,camping_primitive|camping_rv|dump_station,,20,17,,,https://www.visitmo.com/places-to-stay/rocky-top-campground,2026-08-23
Caddo River Access RV Park,campground,caddo-river,caddo-river-access-rv-park,https://www.caddoriveraccessrv.com,camping_rv|wifi,,,,,,https://www.caddoriveraccessrv.com,2026-08-23
